time,x,y,vx,vy,omega,linear_velocity,goal_status,attempt_id,goal_x,goal_y,goal_reached_count,collision_count,min_scan_range,plan_update_count,last_plan_update_time
90.626,0.008399085655760951,-0.006021824564282917,-6.796225919996554e-05,9.863739212409377e-06,-0.0016526910172092444,6.867431853912875e-05,IDLE,0,nan,nan,0,0,0.6888133883476257,0,nan
90.662,0.008399446922861833,-0.0060195325709057395,-6.777317865868387e-05,9.854066800046401e-06,-0.0016480704018596904,6.848581150867426e-05,IDLE,0,nan,nan,0,0,0.6888133883476257,0,nan
90.692,0.008399807762629979,-0.0060172468972799825,-6.757968486272374e-05,9.845747173782438e-06,-0.0016435651997149935,6.82931368700772e-05,IDLE,0,nan,nan,0,0,0.6888133883476257,0,nan
90.725,0.008400179138368356,-0.00601489845947965,-6.738536412436546e-05,9.835960472092203e-06,-0.0016388461466096634,6.809943771120199e-05,IDLE,0,nan,nan,0,0,0.6888133883476257,0,nan
90.76,0.008400539164431692,-0.006012625402958838,-6.71925487536544e-05,9.827203922764535e-06,-0.0016343390627336287,6.790738210939825e-05,IDLE,0,nan,nan,0,0,0.6972061395645142,0,nan
90.792,0.00840089879547506,-0.0060103585896537194,-6.700473903861085e-05,9.818080810976634e-06,-0.0016298043960023914,6.772023157405184e-05,IDLE,0,nan,nan,0,0,0.6972061395645142,0,nan
90.827,0.008401268890392102,-0.00600802952752197,-6.680733199353152e-05,9.80851083389201e-06,-0.0016251622855475744,6.752352547721806e-05,IDLE,0,nan,nan,0,0,0.6972061395645142,0,nan
90.859,0.00840162768956136,-0.006005775292583448,-6.661874095965907e-05,9.79969462974942e-06,-0.0016206662991194165,6.73356566900962e-05,IDLE,0,nan,nan,0,0,0.6972061395645142,0,nan
90.891,0.008401986081437846,-0.006003527232851246,-6.642791409770015e-05,9.790147238672485e-06,-0.001616176810127299,6.714547456326687e-05,IDLE,0,nan,nan,0,0,0.6972061395645142,0,nan
90.926,0.008402354904588497,-0.006001217525150079,-6.623363949786406e-05,9.780760108978477e-06,-0.0016115644246101294,6.695191012542064e-05,IDLE,0,nan,nan,0,0,0.6972061395645142,0,nan
90.959,0.008402712459282778,-0.005998981992879969,-6.604461946746895e-05,9.771155191534482e-06,-0.0016070955342545224,6.676351724092904e-05,IDLE,0,nan,nan,0,0,0.7058137059211731,0,nan
90.984,0.008403069600898648,-0.005996752621475518,-6.58559605498026e-05,9.761947315605698e-06,-0.001602642026648032,6.657554472424404e-05,IDLE,0,nan,nan,0,0,0.7058137059211731,0,nan
91.026,0.008403437131073332,-0.005994462101830905,-6.566263116426192e-05,9.752146624982063e-06,-0.001598058729763652,6.638287049540002e-05,IDLE,0,nan,nan,0,0,0.7058137059211731,0,nan
91.059,0.00840379343328436,-0.005992245183402243,-6.547407248821407e-05,9.74296497878158e-06,-0.0015936318752997841,6.619501140395456e-05,IDLE,0,nan,nan,0,0,0.7058137059211731,0,nan
91.089,0.008404149320324794,-0.005990034368166946,-6.528775457648005e-05,9.73351361790314e-06,-0.0015892049247767347,6.60093340747246e-05,IDLE,0,nan,nan,0,0,0.7058137059211731,0,nan
91.126,0.008404515525973176,-0.005987762939422902,-6.509409063740275e-05,9.71612690690303e-06,-0.0015846659989280558,6.581522436322351e-05,IDLE,0,nan,nan,0,0,0.7058137059211731,0,nan
91.161,0.008404870166461534,-0.005985564478603087,-6.49091397044729e-05,9.69588210256203e-06,-0.0015802586342541208,6.562931164442884e-05,IDLE,0,nan,nan,0,0,0.6942175030708313,0,nan
91.192,0.008405224404320144,-0.0059833721310101305,-6.47182090997477e-05,9.682192604940958e-06,-0.0015758795704415131,6.543845538150973e-05,IDLE,0,nan,nan,0,0,0.6942175030708313,0,nan
91.226,0.00840558889194503,-0.005981119703402229,-6.453081500963248e-05,9.666736245016947e-06,-0.0015713486948729662,6.525083812057998e-05,IDLE,0,nan,nan,0,0,0.6942175030708313,0,nan
91.259,0.008405942199901458,-0.005978939690217162,-6.434032843409203e-05,9.651800640368995e-06,-0.001566986897146333,6.506024222678746e-05,IDLE,0,nan,nan,0,0,0.6942175030708313,0,nan
91.292,0.008406295065817835,-0.005976765730649445,-6.415797813504621e-05,9.637525635748484e-06,-0.0015626124126703362,6.487779326361816e-05,IDLE,0,nan,nan,0,0,0.6942175030708313,0,nan
91.326,0.008406658114380065,-0.005974532204376844,-6.396562061018606e-05,9.62441751420232e-06,-0.001558137435417001,6.468562462042044e-05,IDLE,0,nan,nan,0,0,0.6942175030708313,0,nan
91.36,0.008407010033745985,-0.005972370489680835,-6.378130538810538e-05,9.615528763706348e-06,-0.0015537874168666584,6.450204113372246e-05,IDLE,0,nan,nan,0,0,0.6977420449256897,0,nan
91.388,0.008407361494174332,-0.005970214775472684,-6.359775892967374e-05,9.60542542428069e-06,-0.0015494568145967644,6.431904180301751e-05,IDLE,0,nan,nan,0,0,0.6977420449256897,0,nan
91.426,0.008407723140056677,-0.0059680000314115056,-6.340696791134196e-05,9.595677034887084e-06,-0.001545005595602873,6.412893728628136e-05,IDLE,0,nan,nan,0,0,0.6977420449256897,0,nan
91.459,0.008408073693133594,-0.00596585648146389,-6.322501362308715e-05,9.586002780683035e-06,-0.0015406878374021708,6.394758632623141e-05,IDLE,0,nan,nan,0,0,0.6977420449256897,0,nan
91.492,0.008408423796062808,-0.005963718926197174,-6.304054046103584e-05,9.576415039308685e-06,-0.0015363942190202448,6.376376295847505e-05,IDLE,0,nan,nan,0,0,0.6977420449256897,0,nan
91.529,0.008408784050381883,-0.005961522803087307,-6.28546039187682e-05,9.566931559366035e-06,-0.0015319543346246647,6.357851377035188e-05,IDLE,0,nan,nan,0,0,0.6977420449256897,0,nan
